year,state,month,number,date,country
1998,Acre,1,0,01-01-98,Brazil
1999,Acre,1,0,01-01-99,Brazil
2000,Acre,1,0,01-01-00,Brazil
2001,Acre,1,0,01-01-01,Brazil
2002,Acre,1,0,01-01-02,Brazil
2003,Acre,1,10,01-01-03,Brazil
2004,Acre,1,0,01-01-04,Brazil
2005,Acre,1,12,01-01-05,Brazil
2006,Acre,1,4,01-01-06,Brazil
2007,Acre,1,0,01-01-07,Brazil
2008,Acre,1,0,01-01-08,Brazil
2009,Acre,1,0,01-01-09,Brazil
2010,Acre,1,1,01-01-10,Brazil
2011,Acre,1,0,01-01-11,Brazil
2012,Acre,1,0,01-01-12,Brazil
2013,Acre,1,0,01-01-13,Brazil
2014,Acre,1,0,01-01-14,Brazil
2015,Acre,1,1,01-01-15,Brazil
2016,Acre,1,12,01-01-16,Brazil
2017,Acre,1,0,01-01-17,Brazil
1998,Acre,2,0,01-01-98,Brazil
1999,Acre,2,0,01-01-99,Brazil
2000,Acre,2,0,01-01-00,Brazil
2001,Acre,2,0,01-01-01,Brazil
2002,Acre,2,1,01-01-02,Brazil
2003,Acre,2,0,01-01-03,Brazil
2004,Acre,2,3,01-01-04,Brazil
2005,Acre,2,0,01-01-05,Brazil
2006,Acre,2,0,01-01-06,Brazil
2007,Acre,2,5,01-01-07,Brazil
2008,Acre,2,0,01-01-08,Brazil
2009,Acre,2,2,01-01-09,Brazil
2010,Acre,2,0,01-01-10,Brazil
2011,Acre,2,0,01-01-11,Brazil
2012,Acre,2,0,01-01-12,Brazil
2013,Acre,2,0,01-01-13,Brazil
2014,Acre,2,0,01-01-14,Brazil
2015,Acre,2,2,01-01-15,Brazil
2016,Acre,2,5,01-01-16,Brazil
2017,Acre,2,1,01-01-17,Brazil
1998,Acre,3,0,01-01-98,Brazil
1999,Acre,3,0,01-01-99,Brazil
2000,Acre,3,11,01-01-00,Brazil
2001,Acre,3,0,01-01-01,Brazil
2002,Acre,3,0,01-01-02,Brazil
2003,Acre,3,0,01-01-03,Brazil
2004,Acre,3,0,01-01-04,Brazil
2005,Acre,3,3,01-01-05,Brazil
2006,Acre,3,0,01-01-06,Brazil
2007,Acre,3,2,01-01-07,Brazil
2008,Acre,3,0,01-01-08,Brazil
2009,Acre,3,1,01-01-09,Brazil
2010,Acre,3,0,01-01-10,Brazil
2011,Acre,3,0,01-01-11,Brazil
2012,Acre,3,1,01-01-12,Brazil
2013,Acre,3,2,01-01-13,Brazil
2014,Acre,3,1,01-01-14,Brazil
2015,Acre,3,2,01-01-15,Brazil
2016,Acre,3,0,01-01-16,Brazil
2017,Acre,3,0,01-01-17,Brazil
1998,Acre,4,0,01-01-98,Brazil
1999,Acre,4,0,01-01-99,Brazil
2000,Acre,4,1,01-01-00,Brazil
2001,Acre,4,0,01-01-01,Brazil
2002,Acre,4,0,01-01-02,Brazil
2003,Acre,4,1,01-01-03,Brazil
2004,Acre,4,2,01-01-04,Brazil
2005,Acre,4,1,01-01-05,Brazil
2006,Acre,4,0,01-01-06,Brazil
2007,Acre,4,0,01-01-07,Brazil
2008,Acre,4,0,01-01-08,Brazil
2009,Acre,4,0,01-01-09,Brazil
2010,Acre,4,3,01-01-10,Brazil
2011,Acre,4,2,01-01-11,Brazil
2012,Acre,4,1,01-01-12,Brazil
2013,Acre,4,19,01-01-13,Brazil
2014,Acre,4,7,01-01-14,Brazil
2015,Acre,4,3,01-01-15,Brazil
2016,Acre,4,0,01-01-16,Brazil
2017,Acre,4,1,01-01-17,Brazil
1998,Acre,5,0,01-01-98,Brazil
1999,Acre,5,0,01-01-99,Brazil
2000,Acre,5,1,01-01-00,Brazil
2001,Acre,5,0,01-01-01,Brazil
2002,Acre,5,0,01-01-02,Brazil
2003,Acre,5,6,01-01-03,Brazil
2004,Acre,5,7,01-01-04,Brazil
2005,Acre,5,2,01-01-05,Brazil
2006,Acre,5,8,01-01-06,Brazil
2007,Acre,5,1,01-01-07,Brazil
2008,Acre,5,0,01-01-08,Brazil
2009,Acre,5,3,01-01-09,Brazil
2010,Acre,5,9,01-01-10,Brazil
2011,Acre,5,3,01-01-11,Brazil
2012,Acre,5,3,01-01-12,Brazil
2013,Acre,5,4,01-01-13,Brazil
2014,Acre,5,1,01-01-14,Brazil
2015,Acre,5,2,01-01-15,Brazil
2016,Acre,5,21,01-01-16,Brazil
2017,Acre,5,10,01-01-17,Brazil
1998,Acre,6,3,01-01-98,Brazil
1999,Acre,6,0,01-01-99,Brazil
2000,Acre,6,1,01-01-00,Brazil
2001,Acre,6,1,01-01-01,Brazil
2002,Acre,6,0,01-01-02,Brazil
2003,Acre,6,0,01-01-03,Brazil
2004,Acre,6,5,01-01-04,Brazil
2005,Acre,6,27,01-01-05,Brazil
2006,Acre,6,1,01-01-06,Brazil
2007,Acre,6,4,01-01-07,Brazil
2008,Acre,6,0,01-01-08,Brazil
2009,Acre,6,0,01-01-09,Brazil
2010,Acre,6,1,01-01-10,Brazil
2011,Acre,6,10,01-01-11,Brazil
2012,Acre,6,7,01-01-12,Brazil
2013,Acre,6,8,01-01-13,Brazil
2014,Acre,6,17,01-01-14,Brazil
2015,Acre,6,40,01-01-15,Brazil
2016,Acre,6,87,01-01-16,Brazil
2017,Acre,6,45,01-01-17,Brazil
1998,Acre,7,37,01-01-98,Brazil
1999,Acre,7,1,01-01-99,Brazil
2000,Acre,7,1,01-01-00,Brazil
2001,Acre,7,3,01-01-01,Brazil
2002,Acre,7,39,01-01-02,Brazil
2003,Acre,7,168,01-01-03,Brazil
2004,Acre,7,42,01-01-04,Brazil
2005,Acre,7,368,01-01-05,Brazil
2006,Acre,7,33,01-01-06,Brazil
2007,Acre,7,29,01-01-07,Brazil
2008,Acre,7,41,01-01-08,Brazil
2009,Acre,7,31,01-01-09,Brazil
2010,Acre,7,126,01-01-10,Brazil
2011,Acre,7,93,01-01-11,Brazil
2012,Acre,7,71,01-01-12,Brazil
2013,Acre,7,54,01-01-13,Brazil
2014,Acre,7,60,01-01-14,Brazil
2015,Acre,7,109,01-01-15,Brazil
2016,Acre,7,533,01-01-16,Brazil
2017,Acre,7,457,01-01-17,Brazil
1998,Acre,8,130,01-01-98,Brazil
1999,Acre,8,63,01-01-99,Brazil
2000,Acre,8,136,01-01-00,Brazil
2001,Acre,8,396,01-01-01,Brazil
2002,Acre,8,728,01-01-02,Brazil
2003,Acre,8,1,01-01-03,Brazil
2004,Acre,8,645,01-01-04,Brazil
2005,Acre,8,4,01-01-05,Brazil
2006,Acre,8,839,01-01-06,Brazil
2007,Acre,8,960,01-01-07,Brazil
2008,Acre,8,445,01-01-08,Brazil
