temperature,year,country,month
25.6309,1991, Brazil,1
25.9331,1991, Brazil,2
25.6195,1991, Brazil,3
25.3122,1991, Brazil,4
24.6685,1991, Brazil,5
23.9559,1991, Brazil,6
23.2381,1991, Brazil,7
23.9559,1991, Brazil,8
25.2297,1991, Brazil,9
25.5777,1991, Brazil,10
25.9442,1991, Brazil,11
26.0139,1991, Brazil,12
25.7539,1992, Brazil,1
25.6635,1992, Brazil,2
25.5218,1992, Brazil,3
25.2168,1992, Brazil,4
25.0763,1992, Brazil,5
24.3627,1992, Brazil,6
22.7497,1992, Brazil,7
23.9357,1992, Brazil,8
24.4702,1992, Brazil,9
25.6455,1992, Brazil,10
25.3548,1992, Brazil,11
25.3782,1992, Brazil,12
25.7122,1993, Brazil,1
25.3757,1993, Brazil,2
25.6605,1993, Brazil,3
25.5324,1993, Brazil,4
24.4301,1993, Brazil,5
23.6868,1993, Brazil,6
23.3538,1993, Brazil,7
24.0561,1993, Brazil,8
25.0921,1993, Brazil,9
26.0299,1993, Brazil,10
25.9032,1993, Brazil,11
25.7751,1993, Brazil,12
25.5768,1994, Brazil,1
25.7538,1994, Brazil,2
25.4201,1994, Brazil,3
25.2587,1994, Brazil,4
24.9608,1994, Brazil,5
23.6368,1994, Brazil,6
23.2637,1994, Brazil,7
24.2578,1994, Brazil,8
25.4814,1994, Brazil,9
26.1762,1994, Brazil,10
25.8972,1994, Brazil,11
25.9369,1994, Brazil,12
26.165,1995, Brazil,1
25.9884,1995, Brazil,2
25.9259,1995, Brazil,3
25.1272,1995, Brazil,4
24.2585,1995, Brazil,5
23.8711,1995, Brazil,6
24.2735,1995, Brazil,7
25.0193,1995, Brazil,8
25.7562,1995, Brazil,9
26.1276,1995, Brazil,10
25.9217,1995, Brazil,11
25.8998,1995, Brazil,12
25.9877,1996, Brazil,1
26.1255,1996, Brazil,2
25.5699,1996, Brazil,3
25.2402,1996, Brazil,4
24.479,1996, Brazil,5
22.9811,1996, Brazil,6
23.4364,1996, Brazil,7
24.6444,1996, Brazil,8
25.0308,1996, Brazil,9
25.9201,1996, Brazil,10
25.6649,1996, Brazil,11
26.2589,1996, Brazil,12
25.6118,1997, Brazil,1
25.8601,1997, Brazil,2
25.2519,1997, Brazil,3
25.1507,1997, Brazil,4
24.3424,1997, Brazil,5
23.7496,1997, Brazil,6
24.2523,1997, Brazil,7
24.6856,1997, Brazil,8
25.8613,1997, Brazil,9
26.8906,1997, Brazil,10
26.7417,1997, Brazil,11
26.465,1997, Brazil,12
26.7041,1998, Brazil,1
26.8333,1998, Brazil,2
26.357,1998, Brazil,3
26.3255,1998, Brazil,4
24.8441,1998, Brazil,5
23.9281,1998, Brazil,6
24.5773,1998, Brazil,7
25.4446,1998, Brazil,8
25.7331,1998, Brazil,9
26.4043,1998, Brazil,10
26.031,1998, Brazil,11
26.1804,1998, Brazil,12
26.0825,1999, Brazil,1
26.0898,1999, Brazil,2
25.9152,1999, Brazil,3
25.1308,1999, Brazil,4
24.0045,1999, Brazil,5
23.7472,1999, Brazil,6
23.801,1999, Brazil,7
24.3559,1999, Brazil,8
25.7298,1999, Brazil,9
25.9712,1999, Brazil,10
25.8139,1999, Brazil,11
26.0335,1999, Brazil,12
25.8922,2000, Brazil,1
25.7304,2000, Brazil,2
25.5237,2000, Brazil,3
25.298000000000002,2000, Brazil,4
24.6587,2000, Brazil,5
24.0279,2000, Brazil,6
22.8954,2000, Brazil,7
24.8073,2000, Brazil,8
25.1792,2000, Brazil,9
26.5293,2000, Brazil,10
25.8763,2000, Brazil,11
25.8833,2000, Brazil,12
25.889,2001, Brazil,1
26.1098,2001, Brazil,2
25.9956,2001, Brazil,3
25.844,2001, Brazil,4
24.7001,2001, Brazil,5
23.2559,2001, Brazil,6
24.2577,2001, Brazil,7
25.1645,2001, Brazil,8
25.7005,2001, Brazil,9
26.2674,2001, Brazil,10
26.3615,2001, Brazil,11
26.070999999999998,2001, Brazil,12
26.0038,2002, Brazil,1
26.0543,2002, Brazil,2
26.3506,2002, Brazil,3
26.0302,2002, Brazil,4
25.2653,2002, Brazil,5
24.0697,2002, Brazil,6
24.3129,2002, Brazil,7
25.3006,2002, Brazil,8
25.5974,2002, Brazil,9
27.0233,2002, Brazil,10
26.4626,2002, Brazil,11
26.3774,2002, Brazil,12
26.4503,2003, Brazil,1
26.4307,2003, Brazil,2
26.0488,2003, Brazil,3
25.7608,2003, Brazil,4
24.7559,2003, Brazil,5
24.7049,2003, Brazil,6
23.938000000000002,2003, Brazil,7
24.1622,2003, Brazil,8
25.5287,2003, Brazil,9
26.2649,2003, Brazil,10
26.2403,2003, Brazil,11
26.5705,2003, Brazil,12
26.1996,2004, Brazil,1
25.7999,2004, Brazil,2
26.000999999999998,2004, Brazil,3
26.0832,2004, Brazil,4
24.3298,2004, Brazil,5
23.9999,2004, Brazil,6
23.6311,2004, Brazil,7
24.6258,2004, Brazil,8
25.8999,2004, Brazil,9
26.496,2004, Brazil,10
26.4233,2004, Brazil,11
26.2918,2004, Brazil,12
26.6529,2005, Brazil,1
26.5285,2005, Brazil,2
26.2976,2005, Brazil,3
26.0263,2005, Brazil,4
25.168000000000003,2005, Brazil,5
24.5774,2005, Brazil,6
23.872,2005, Brazil,7
25.3791,2005, Brazil,8
25.3699,2005, Brazil,9
26.818,2005, Brazil,10
26.64,2005, Brazil,11
25.9184,2005, Brazil,12
26.592,2006, Brazil,1
26.284000000000002,2006, Brazil,2
26.1389,2006, Brazil,3
25.4638,2006, Brazil,4
24.1172,2006, Brazil,5
23.9029,2006, Brazil,6
24.3948,2006, Brazil,7
25.1154,2006, Brazil,8
25.6463,2006, Brazil,9
26.5309,2006, Brazil,10
26.0784,2006, Brazil,11
26.4705,2006, Brazil,12
26.5299,2007, Brazil,1
26.2615,2007, Brazil,2
26.2567,2007, Brazil,3
25.9564,2007, Brazil,4
24.5048,2007, Brazil,5
24.3439,2007, Brazil,6
23.8918,2007, Brazil,7
24.3937,2007, Brazil,8
26.3635,2007, Brazil,9
26.7388,2007, Brazil,10
26.3731,2007, Brazil,11
26.154,2007, Brazil,12
25.6394,2008, Brazil,1
25.7319,2008, Brazil,2
25.6503,2008, Brazil,3
25.3256,2008, Brazil,4
24.1105,2008, Brazil,5
23.3868,2008, Brazil,6
24.2839,2008, Brazil,7
25.3217,2008, Brazil,8
25.6099,2008, Brazil,9
26.9318,2008, Brazil,10
26.418000000000003,2008, Brazil,11
26.0776,2008, Brazil,12
25.8964,2009, Brazil,1
25.8547,2009, Brazil,2
26.1097,2009, Brazil,3
25.5711,2009, Brazil,4
24.7066,2009, Brazil,5
23.4252,2009, Brazil,6
24.0877,2009, Brazil,7
25.0589,2009, Brazil,8
26.1593,2009, Brazil,9
26.4735,2009, Brazil,10
27.1158,2009, Brazil,11
26.1505,2009, Brazil,12
26.5481,2010, Brazil,1
27.0655,2010, Brazil,2
26.8228,2010, Brazil,3
25.8801,2010, Brazil,4
24.9453,2010, Brazil,5
24.0319,2010, Brazil,6
24.2075,2010, Brazil,7
24.7496,2010, Brazil,8
26.498,2010, Brazil,9
26.583000000000002,2010, Brazil,10
26.1724,2010, Brazil,11
26.3027,2010, Brazil,12
26.0039,2011, Brazil,1
25.9424,2011, Brazil,2
25.6809,2011, Brazil,3
25.6713,2011, Brazil,4
24.7252,2011, Brazil,5
24.1491,2011, Brazil,6
24.2797,2011, Brazil,7
25.1329,2011, Brazil,8
26.1025,2011, Brazil,9
26.1899,2011, Brazil,10
25.975,2011, Brazil,11
26.1336,2011, Brazil,12
25.7407,2012, Brazil,1
25.8938,2012, Brazil,2
25.831,2012, Brazil,3
25.8573,2012, Brazil,4
24.8098,2012, Brazil,5
24.2814,2012, Brazil,6
24.0859,2012, Brazil,7
25.1256,2012, Brazil,8
26.4915,2012, Brazil,9
27.209,2012, Brazil,10
26.6183,2012, Brazil,11
26.5734,2012, Brazil,12
26.3435,2013, Brazil,1
26.3703,2013, Brazil,2
26.326999999999998,2013, Brazil,3
25.6717,2013, Brazil,4
24.9765,2013, Brazil,5
24.6711,2013, Brazil,6
24.1988,2013, Brazil,7
24.4792,2013, Brazil,8
26.0349,2013, Brazil,9
26.4174,2013, Brazil,10
26.1291,2013, Brazil,11
26.3653,2013, Brazil,12
26.3036,2014, Brazil,1
26.1074,2014, Brazil,2
25.8583,2014, Brazil,3
25.8516,2014, Brazil,4
24.9854,2014, Brazil,5
