year,co2,forest
1998,312289.054,62.97575627
1999,320173.104,62.67149076
2000,327983.814,62.36722524
2001,337433.673,62.01930094
2002,332266.87,61.67137665
2003,321621.569,61.32345235
2004,337826.042,60.97552805
2005,347308.904,60.62760375
2006,347668.27,60.42957075
2007,363212.683,60.23153402
2008,387631.236,60.03350102
2009,367147.374,59.83546429
2010,419754.156,59.63743129
2011,439412.943,59.51970175
2012,470028.726,59.40197221
2013,503677.118,59.28424267
2014,529808.16,59.16651312
2015,,59.04878358
2016,,58.93105404
