year,month,number,period
1998,1,0,1998-01-01
1999,1,1081,1999-01-01
2000,1,778,2000-01-01
2001,1,547,2001-01-01
2002,1,1654,2002-01-01
2003,1,5091,2003-01-01
2004,1,2705,2004-01-01
2005,1,4990,2005-01-01
2006,1,3255,2006-01-01
2007,1,3055,2007-01-01
2008,1,2125,2008-01-01
2009,1,2848,2009-01-01
2010,1,2851,2010-01-01
2011,1,1416,2011-01-01
2012,1,2491,2012-01-01
2013,1,2049,2013-01-01
2014,1,2634,2014-01-01
2015,1,4637,2015-01-01
2016,1,5983,2016-01-01
2017,1,2370,2017-01-01
1998,2,0,1998-01-02
1999,2,1284,1999-01-02
2000,2,562,2000-01-02
2001,2,1059,2001-01-02
2002,2,1570,2002-01-02
2003,2,2398,2003-01-02
2004,2,1255,2004-01-02
2005,2,2153,2005-01-02
2006,2,1666,2006-01-02
2007,2,1751,2007-01-02
2008,2,1275,2008-01-02
2009,2,1140,2009-01-02
2010,2,2386,2010-01-02
2011,2,973,2011-01-02
2012,2,1436,2012-01-02
2013,2,1591,2013-01-02
2014,2,1548,2014-01-02
2015,2,2311,2015-01-02
2016,2,4148,2016-01-02
2017,2,1400,2017-01-02
1998,3,0,1998-01-03
1999,3,667,1999-01-03
2000,3,849,2000-01-03
2001,3,1268,2001-01-03
2002,3,1679,2002-01-03
2003,3,2749,2003-01-03
2004,3,2040,2004-01-03
2005,3,1706,2005-01-03
2006,3,1774,2006-01-03
2007,3,2136,2007-01-03
2008,3,1239,2008-01-03
2009,3,1392,2009-01-03
2010,3,2417,2010-01-03
2011,3,937,2011-01-03
2012,3,2058,2012-01-03
2013,3,1969,2013-01-03
2014,3,2225,2014-01-03
2015,3,2204,2015-01-03
2016,3,3799,2016-01-03
2017,3,2017,2017-01-03
1998,4,0,1998-01-04
1999,4,717,1999-01-04
2000,4,538,2000-01-04
2001,4,1081,2001-01-04
2002,4,1682,2002-01-04
2003,4,2677,2003-01-04
2004,4,1335,2004-01-04
2005,4,1011,2005-01-04
2006,4,792,2006-01-04
2007,4,415,2007-01-04
2008,4,1253,2008-01-04
2009,4,1078,2009-01-04
2010,4,2200,2010-01-04
2011,4,1152,2011-01-04
2012,4,2194,2012-01-04
2013,4,1374,2013-01-04
2014,4,2360,2014-01-04
2015,4,2574,2015-01-04
2016,4,3977,2016-01-04
2017,4,1559,2017-01-04
1998,5,0,1998-01-05
1999,5,1812,1999-01-05
2000,5,2097,2000-01-05
2001,5,2090,2001-01-05
2002,5,3818,2002-01-05
2003,5,1747,2003-01-05
2004,5,3535,2004-01-05
2005,5,3210,2005-01-05
2006,5,808,2006-01-05
2007,5,1286,2007-01-05
2008,5,553,2008-01-05
2009,5,2593,2009-01-05
2010,5,3497,2010-01-05
2011,5,1985,2011-01-05
2012,5,3240,2012-01-05
2013,5,2166,2013-01-05
2014,5,3190,2014-01-05
2015,5,2386,2015-01-05
2016,5,3568,2016-01-05
2017,5,2505,2017-01-05
1998,6,3551,1998-01-06
1999,6,3632,1999-01-06
2000,6,6275,2000-01-06
2001,6,8433,2001-01-06
2002,6,10839,2002-01-06
2003,6,6506,2003-01-06
2004,6,14262,2004-01-06
2005,6,5811,2005-01-06
2006,6,1968,2006-01-06
2007,6,3956,2007-01-06
2008,6,1287,2008-01-06
2009,6,2962,2009-01-06
2010,6,3642,2010-01-06
2011,6,4578,2011-01-06
2012,6,5891,2012-01-06
2013,6,3898,2013-01-06
2014,6,6484,2014-01-06
2015,6,5810,2015-01-06
2016,6,6339,2016-01-06
2017,6,7491,2016-01-06
1998,7,8067,1998-01-07
1999,7,8758,1999-01-07
2000,7,4740,2000-01-07
2001,7,6490,2001-01-07
2002,7,13751,2002-01-07
2003,7,11804,2003-01-07
2004,7,23809,2004-01-07
2005,7,15663,2005-01-07
2006,7,5722,2006-01-07
