state,date,precipitation,year,month
Bahia,1998-01-31,63.6,1998,1
Bahia,1998-02-28,55.6,1998,2
Bahia,1998-03-31,117.2,1998,3
Bahia,1998-04-30,206.0,1998,4
Bahia,1998-05-31,250.9,1998,5
Bahia,1998-06-30,358.3,1998,6
Bahia,1998-07-31,306.5,1998,7
Bahia,1998-08-31,155.4,1998,8
Bahia,1998-09-30,63.9,1998,9
Bahia,1998-10-31,111.8,1998,10
Bahia,1998-11-30,65.3,1998,11
Bahia,1998-12-31,34.5,1998,12
Bahia,1999-01-31,99.3,1999,1
Bahia,1999-02-28,102.9,1999,2
Bahia,1999-03-31,313.9,1999,3
Bahia,1999-04-30,376.6,1999,4
Bahia,1999-05-31,376.9,1999,5
Bahia,1999-06-30,185.0,1999,6
Bahia,1999-07-31,225.0,1999,7
Bahia,1999-08-31,323.5,1999,8
Bahia,1999-09-30,141.2,1999,9
Bahia,1999-10-31,163.9,1999,10
Bahia,1999-11-30,275.5,1999,11
Bahia,1999-12-31,94.2,1999,12
Bahia,2000-01-31,29.5,2000,1
Bahia,2000-02-29,85.3,2000,2
Bahia,2000-03-31,191.9,2000,3
Bahia,2000-04-30,365.4,2000,4
Bahia,2000-05-31,248.5,2000,5
Bahia,2000-06-30,310.5,2000,6
Bahia,2000-07-31,201.1,2000,7
Bahia,2000-08-31,136.2,2000,8
Bahia,2000-09-30,161.6,2000,9
Bahia,2000-10-31,15.9,2000,10
Bahia,2000-11-30,74.3,2000,11
Bahia,2000-12-31,88.0,2000,12
Bahia,2001-01-31,95.2,2001,1
Bahia,2001-02-28,28.6,2001,2
Bahia,2001-03-31,264.1,2001,3
Bahia,2001-04-30,103.5,2001,4
Bahia,2001-05-31,199.2,2001,5
Bahia,2001-06-30,195.9,2001,6
Bahia,2001-07-31,220.3,2001,7
Bahia,2001-08-31,149.7,2001,8
Bahia,2001-09-30,190.8,2001,9
Bahia,2001-10-31,202.3,2001,10
Bahia,2001-11-30,30.3,2001,11
Bahia,2001-12-31,97.4,2001,12
Bahia,2002-01-31,252.4,2002,1
Bahia,2002-02-28,102.8,2002,2
Bahia,2002-03-31,98.7,2002,3
Bahia,2002-04-30,69.3,2002,4
Bahia,2002-05-31,351.6,2002,5
Bahia,2002-06-30,209.2,2002,6
Bahia,2002-07-31,254.8,2002,7
Bahia,2002-08-31,162.8,2002,8
Bahia,2002-09-30,258.8,2002,9
Bahia,2002-10-31,16.0,2002,10
Bahia,2002-11-30,25.2,2002,11
Bahia,2002-12-31,22.7,2002,12
Bahia,2003-01-31,26.7,2003,1
Bahia,2003-02-28,97.3,2003,2
Bahia,2003-03-31,206.3,2003,3
Bahia,2003-04-30,186.8,2003,4
Bahia,2003-05-31,550.5,2003,5
Bahia,2003-06-30,237.5,2003,6
Bahia,2003-07-31,186.5,2003,7
Bahia,2003-08-31,136.7,2003,8
Bahia,2003-09-30,168.7,2003,9
Bahia,2003-10-31,69.2,2003,10
Bahia,2003-11-30,132.8,2003,11
Bahia,2003-12-31,15.2,2003,12
Bahia,2004-01-31,319.4,2004,1
Bahia,2004-02-29,165.3,2004,2
Bahia,2004-03-31,121.9,2004,3
Bahia,2004-04-30,278.4,2004,4
Bahia,2004-05-31,159.5,2004,5
Bahia,2004-06-30,326.3,2004,6
Bahia,2004-07-31,218.4,2004,7
Bahia,2004-08-31,129.5,2004,8
Bahia,2004-09-30,40.5,2004,9
Bahia,2004-10-31,82.0,2004,10
Bahia,2004-11-30,167.6,2004,11
Bahia,2004-12-31,10.9,2004,12
Bahia,2005-01-31,42.9,2005,1
Bahia,2005-02-28,349.4,2005,2
Bahia,2005-03-31,349.4,2005,3
Bahia,2005-04-30,415.0,2005,4
Bahia,2005-05-31,198.2,2005,5
