Temperature (Celsius) , Year,Months
25.6309,1991, Jan
25.9331,1991, Feb
25.6195,1991, Mar
25.3122,1991, Apr
24.6685,1991, May
23.9559,1991, Jun
23.2381,1991, Jul
23.9559,1991, Aug
25.2297,1991, Sep
25.5777,1991, Oct
25.9442,1991, Nov
26.0139,1991, Dec
25.7539,1992, Jan
25.6635,1992, Feb
25.5218,1992, Mar
25.2168,1992, Apr
25.0763,1992, May
24.3627,1992, Jun
22.7497,1992, Jul
23.9357,1992, Aug
24.4702,1992, Sep
25.6455,1992, Oct
25.3548,1992, Nov
25.3782,1992, Dec
25.7122,1993, Jan
25.3757,1993, Feb
25.6605,1993, Mar
25.5324,1993, Apr
24.4301,1993, May
23.6868,1993, Jun
23.3538,1993, Jul
24.0561,1993, Aug
25.0921,1993, Sep
26.0299,1993, Oct
25.9032,1993, Nov
25.7751,1993, Dec
25.5768,1994, Jan
25.7538,1994, Feb
25.4201,1994, Mar
25.2587,1994, Apr
24.9608,1994, May
23.6368,1994, Jun
23.2637,1994, Jul
24.2578,1994, Aug
25.4814,1994, Sep
26.1762,1994, Oct
25.8972,1994, Nov
25.9369,1994, Dec
26.165,1995, Jan
25.9884,1995, Feb
25.9259,1995, Mar
25.1272,1995, Apr
24.2585,1995, May
23.8711,1995, Jun
24.2735,1995, Jul
25.0193,1995, Aug
25.7562,1995, Sep
26.1276,1995, Oct
25.9217,1995, Nov
25.8998,1995, Dec
25.9877,1996, Jan
26.1255,1996, Feb
25.5699,1996, Mar
25.2402,1996, Apr
24.479,1996, May
22.9811,1996, Jun
23.4364,1996, Jul
24.6444,1996, Aug
25.0308,1996, Sep
25.9201,1996, Oct
25.6649,1996, Nov
26.2589,1996, Dec
25.6118,1997, Jan
25.8601,1997, Feb
25.2519,1997, Mar
25.1507,1997, Apr
24.3424,1997, May
23.7496,1997, Jun
24.2523,1997, Jul
24.6856,1997, Aug
25.8613,1997, Sep
26.8906,1997, Oct
26.7417,1997, Nov
26.465,1997, Dec
26.7041,1998, Jan
26.8333,1998, Feb
26.357,1998, Mar
26.3255,1998, Apr
24.8441,1998, May
23.9281,1998, Jun
24.5773,1998, Jul
25.4446,1998, Aug
25.7331,1998, Sep
26.4043,1998, Oct
26.031,1998, Nov
26.1804,1998, Dec
26.0825,1999, Jan
26.0898,1999, Feb
25.9152,1999, Mar
25.1308,1999, Apr
24.0045,1999, May
23.7472,1999, Jun
23.801,1999, Jul
24.3559,1999, Aug
25.7298,1999, Sep
25.9712,1999, Oct
25.8139,1999, Nov
26.0335,1999, Dec
25.8922,2000, Jan
25.7304,2000, Feb
25.5237,2000, Mar
25.298000000000002,2000, Apr
24.6587,2000, May
24.0279,2000, Jun
22.8954,2000, Jul
24.8073,2000, Aug
25.1792,2000, Sep
26.5293,2000, Oct
25.8763,2000, Nov
25.8833,2000, Dec
25.889,2001, Jan
26.1098,2001, Feb
25.9956,2001, Mar
25.844,2001, Apr
24.7001,2001, May
23.2559,2001, Jun
24.2577,2001, Jul
25.1645,2001, Aug
25.7005,2001, Sep
26.2674,2001, Oct
26.3615,2001, Nov
26.070999999999998,2001, Dec
26.0038,2002, Jan
26.0543,2002, Feb
26.3506,2002, Mar
26.0302,2002, Apr
25.2653,2002, May
24.0697,2002, Jun
24.3129,2002, Jul
25.3006,2002, Aug
25.5974,2002, Sep
27.0233,2002, Oct
26.4626,2002, Nov
26.3774,2002, Dec
26.4503,2003, Jan
26.4307,2003, Feb
26.0488,2003, Mar
25.7608,2003, Apr
24.7559,2003, May
24.7049,2003, Jun
23.938000000000002,2003, Jul
24.1622,2003, Aug
25.5287,2003, Sep
26.2649,2003, Oct
26.2403,2003, Nov
26.5705,2003, Dec
26.1996,2004, Jan
25.7999,2004, Feb
26.000999999999998,2004, Mar
26.0832,2004, Apr
24.3298,2004, May
23.9999,2004, Jun
23.6311,2004, Jul
24.6258,2004, Aug
25.8999,2004, Sep
26.496,2004, Oct
26.4233,2004, Nov
26.2918,2004, Dec
26.6529,2005, Jan
26.5285,2005, Feb
26.2976,2005, Mar
26.0263,2005, Apr
25.168000000000003,2005, May
24.5774,2005, Jun
23.872,2005, Jul
25.3791,2005, Aug
25.3699,2005, Sep
26.818,2005, Oct
26.64,2005, Nov
25.9184,2005, Dec
26.592,2006, Jan
26.284000000000002,2006, Feb
26.1389,2006, Mar
25.4638,2006, Apr
24.1172,2006, May
23.9029,2006, Jun
24.3948,2006, Jul
25.1154,2006, Aug
25.6463,2006, Sep
26.5309,2006, Oct
26.0784,2006, Nov
26.4705,2006, Dec
26.5299,2007, Jan
26.2615,2007, Feb
26.2567,2007, Mar
25.9564,2007, Apr
24.5048,2007, May
24.3439,2007, Jun
23.8918,2007, Jul
24.3937,2007, Aug
26.3635,2007, Sep
26.7388,2007, Oct
26.3731,2007, Nov
26.154,2007, Dec
25.6394,2008, Jan
25.7319,2008, Feb
25.6503,2008, Mar
25.3256,2008, Apr
24.1105,2008, May
23.3868,2008, Jun
24.2839,2008, Jul
25.3217,2008, Aug
25.6099,2008, Sep
26.9318,2008, Oct
26.418000000000003,2008, Nov
26.0776,2008, Dec
25.8964,2009, Jan
25.8547,2009, Feb
26.1097,2009, Mar
25.5711,2009, Apr
24.7066,2009, May
23.4252,2009, Jun
24.0877,2009, Jul
25.0589,2009, Aug
26.1593,2009, Sep
26.4735,2009, Oct
27.1158,2009, Nov
26.1505,2009, Dec
26.5481,2010, Jan
27.0655,2010, Feb
26.8228,2010, Mar
25.8801,2010, Apr
24.9453,2010, May
24.0319,2010, Jun
24.2075,2010, Jul
24.7496,2010, Aug
26.498,2010, Sep
26.583000000000002,2010, Oct
26.1724,2010, Nov
26.3027,2010, Dec
26.0039,2011, Jan
25.9424,2011, Feb
25.6809,2011, Mar
25.6713,2011, Apr
24.7252,2011, May
24.1491,2011, Jun
24.2797,2011, Jul
25.1329,2011, Aug
26.1025,2011, Sep
26.1899,2011, Oct
25.975,2011, Nov
26.1336,2011, Dec
25.7407,2012, Jan
25.8938,2012, Feb
25.831,2012, Mar
25.8573,2012, Apr
24.8098,2012, May
24.2814,2012, Jun
24.0859,2012, Jul
25.1256,2012, Aug
26.4915,2012, Sep
27.209,2012, Oct
26.6183,2012, Nov
26.5734,2012, Dec
26.3435,2013, Jan
26.3703,2013, Feb
26.326999999999998,2013, Mar
25.6717,2013, Apr
24.9765,2013, May
24.6711,2013, Jun
24.1988,2013, Jul
24.4792,2013, Aug
26.0349,2013, Sep
26.4174,2013, Oct
26.1291,2013, Nov
26.3653,2013, Dec
26.3036,2014, Jan
26.1074,2014, Feb
25.8583,2014, Mar
25.8516,2014, Apr
24.9854,2014, May
24.5019,2014, Jun
24.0488,2014, Jul
25.2642,2014, Aug
26.7976,2014, Sep
26.9956,2014, Oct
26.6407,2014, Nov
26.4223,2014, Dec
26.6419,2015, Jan
26.3285,2015, Feb
26.0379,2015, Mar
26.0064,2015, Apr
25.1254,2015, May
24.653000000000002,2015, Jun
24.6845,2015, Jul
25.7821,2015, Aug
27.3481,2015, Sep
27.1013,2015, Oct
27.2134,2015, Nov
27.0235,2015, Dec
26.6768,2016, Jan
26.5488,2016, Feb
26.605,2016, Mar
26.7497,2016, Apr
25.1179,2016, May
23.9542,2016, Jun
24.7449,2016, Jul
25.5629,2016, Aug
25.9775,2016, Sep
27.0781,2016, Oct
26.7037,2016, Nov
26.5119,2016, Dec
