year,month,state,latitude,longitude,firespots
1999,1,Amazonas,-2.371113333333333,-59.89993333333332,3
1999,1,Maranhao,-2.2573947222222226,-45.48783055555556,36
1999,1,Mato Grosso,-12.660633333333331,-55.05798888888889,18
1999,1,Para,-2.4748204597701147,-48.54696666666666,87
1999,1,Rondonia,-12.8617,-60.5131,1
1999,1,Roraima,3.403224666666667,-60.622853333333325,15
1999,2,Amapa,-0.155,-52.6831,1
1999,2,Amazonas,-2.763166976744186,-63.42978139534884,43
1999,2,Mato Grosso,-12.6199875,-55.3753625,8
1999,2,Para,-2.150617438596491,-53.509910526315785,285
1999,2,Rondonia,-9.875,-62.5617,1
1999,2,Roraima,2.2562095,-61.07694,20
1999,3,Amapa,1.138335,-50.46155,2
1999,3,Amazonas,-4.104805714285714,-66.10141428571428,7
1999,3,Maranhao,-3.504865,-45.6928,4
1999,3,Mato Grosso,-12.31615,-55.9678,4
1999,3,Para,-5.0887714285714285,-52.33334285714285,7
1999,3,Rondonia,-12.7341125,-62.1526625,8
1999,3,Roraima,2.1765896938775513,-60.68420714285714,98
1999,4,Amazonas,-3.73306,-63.64585,2
1999,4,Mato Grosso,-12.032897674418605,-55.73237906976744,43
1999,4,Para,-6.392086666666667,-52.28401666666666,6
1999,4,Rondonia,-9.228073333333331,-63.233266666666665,3
1999,4,Roraima,2.72363125,-60.91374375,16
1999,5,Mato Grosso,-12.392257142857144,-55.33517437641723,441
1999,5,Para,-5.5206975,-51.333575,4
1999,5,Rondonia,-11.662633333333332,-62.5489,3
1999,5,Tocantins,-7.02806,-49.1731,1
1999,6,Amapa,0.399165,-52.46905,2
1999,6,Amazonas,-2.087541428571429,-64.48292857142857,7
1999,6,Maranhao,-4.91306,-46.9517,1
1999,6,Mato Grosso,-12.035946962209302,-55.35371787790697,1376
1999,6,Para,-4.939236486486487,-49.51912972972973,37
1999,6,Rondonia,-12.19663,-60.82178,10
1999,6,Roraima,1.24602,-60.3689,3
1999,6,Tocantins,-7.751576666666666,-49.14326666666666,3
1999,7,Acre,-8.17,-72.59,1
1999,7,Amazonas,-6.943260909090909,-60.50082727272727,11
1999,7,Maranhao,-4.601959545454545,-46.97330681818182,44
1999,7,Mato Grosso,-11.626067828548322,-56.15779150828953,2473
1999,7,Para,-6.464225040733198,-51.78840723014257,982
1999,7,Rondonia,-11.239553703703704,-61.90890888888888,135
1999,7,Roraima,3.2032675,-60.920725,4
1999,7,Tocantins,-7.094614,-48.325108,25
1999,8,Acre,-9.86400104477612,-67.91173880597015,67
1999,8,Amazonas,-7.310984039215686,-60.86655176470588,255
1999,8,Maranhao,-4.489339193548387,-46.7134247311828,186
1999,8,Mato Grosso,-11.358813116392541,-56.22812869284646,12707
1999,8,Para,-7.077541819064574,-51.4416634083185,6179
1999,8,Rondonia,-11.328997312753037,-62.24768395748988,1976
1999,8,Roraima,2.975,-61.1131,1
1999,8,Tocantins,-7.385336298701298,-48.688464935064935,154
1999,9,Acre,-9.82926933962264,-68.23080518867924,212
1999,9,Amapa,0.6145175,-51.110725,4
1999,9,Amazonas,-8.00052672897196,-64.04518925233644,214
1999,9,Maranhao,-4.309715066666667,-46.40407333333332,375
1999,9,Mato Grosso,-11.958582064700284,-56.09423463775996,7357
1999,9,Para,-6.513025268281639,-50.225558954041205,4417
1999,9,Rondonia,-11.38076987904544,-62.43536433474993,3059
1999,9,Roraima,3.76991,-60.4866,3
1999,9,Tocantins,-7.1597557849462365,-48.58486602150538,465
1999,10,Acre,-9.577297936507936,-68.86785873015873,63
1999,10,Amapa,1.0229136,-51.242004,25
1999,10,Amazonas,-3.839571323529412,-61.11246365546217,476
1999,10,Maranhao,-4.493400871369295,-46.53390871369295,1446
1999,10,Mato Grosso,-12.021767883771929,-56.220777658991224,3648
1999,10,Para,-4.338486914046956,-50.862127835256665,5026
1999,10,Rondonia,-10.655392054140128,-62.66326109341825,1884
1999,10,Roraima,2.373279,-60.29556,10
1999,10,Tocantins,-6.689083148148148,-48.57327592592593,216
1999,11,Acre,-8.199865,-70.143225,4
1999,11,Amapa,1.4564969230769231,-51.4957,26
1999,11,Amazonas,-3.2991392857142854,-62.19070357142857,28
1999,11,Maranhao,-3.682476226101413,-46.13804945968412,1203
1999,11,Mato Grosso,-12.299733662921348,-57.837176404494386,445
1999,11,Para,-3.0779706226696493,-49.79442938105891,2682
1999,11,Rondonia,-11.913574878048781,-62.008817073170725,41
1999,11,Roraima,1.9212426666666669,-59.94434,15
1999,11,Tocantins,-6.024224,-48.22436,5
1999,12,Amapa,0.4745868292682927,-51.439892682926825,41
1999,12,Amazonas,-2.80653,-61.3717,2
1999,12,Maranhao,-2.577119797859691,-45.6616142687277,841
1999,12,Mato Grosso,-13.993355555555555,-58.678888888888885,18
1999,12,Para,-2.7467801436031327,-49.79739791122715,766
1999,12,Roraima,1.9247234285714288,-60.12523714285714,35
2000,1,Amapa,-0.935,-52.2642,2
2000,1,Amazonas,-4.956312857142857,-63.95565714285714,7
